Time Step,Left Scheme Error,Right Scheme Error,Midpoint Scheme Error
0,0.0,0.0,0.0
1,0.007761250671751355,0.007760107285998106,0.007760111193628469
2,0.011655540755600713,0.011650440515113353,0.011652318531583704
3,0.014616960456864671,0.014609071262664699,0.0146121266716535
4,0.017235859495091987,0.017233055283414532,0.01723359028800287
5,0.01935495235516141,0.01935860229532052,0.019355667983855945
6,0.021155120210340158,0.02115905799868383,0.021155321546177202
7,0.022925733319359626,0.022932476029042595,0.022927395193790202
8,0.02451278813970505,0.02451924681447533,0.02451443308372433
9,0.026111047293426805,0.02612257449923228,0.026115129311940415
10,0.027559942723362922,0.02757182406868876,0.027564463155231225
11,0.028898841215482127,0.02891669220967035,0.028906091597009437
12,0.03029686287266961,0.030308536484350838,0.03030073893157254
13,0.031843022152962946,0.031856754026929016,0.03184786970027708
14,0.03309219477834153,0.03310781001999867,0.0330974445802044
15,0.034332511213388706,0.03434922803870589,0.034339042010622954
16,0.03542521413513566,0.035434450801715485,0.03542718691616134
17,0.036592390866399045,0.03660548915403887,0.03659634642506343
18,0.037722456563357494,0.03774833686570958,0.03773315461314711
19,0.03860902991544637,0.038643944241900624,0.03862388105047931
20,0.03966045397550475,0.03969300146115688,0.03967466413097372
21,0.04063893945529246,0.04067833125268245,0.0406558043868133
22,0.0417152262726693,0.04175319509104768,0.041731778812384684
23,0.04273258557772684,0.042770162328726304,0.04274878925521482
24,0.04385143963578885,0.04388397094205895,0.04386556624008546
25,0.04468333586952069,0.044717055848263056,0.04469732430216569
26,0.04562691135777195,0.04565783933901058,0.045639627804133616
27,0.04647196893500848,0.046506106875077606,0.04648564664482854
28,0.047456786434043025,0.047494552310631356,0.04747300381979451
29,0.04847776911370522,0.048510067325338864,0.04849091138006952
30,0.04931883380318833,0.04935433372932432,0.049333758160483215
31,0.050393238753870834,0.05041843669311401,0.05040354109805695
32,0.051094593734404205,0.05111991566338765,0.05110370677697205
33,0.05194880245616725,0.051978341479006165,0.051960741704507325
34,0.052577972319381674,0.05261096667591487,0.05259092265647287
35,0.05329869609420616,0.053330606604599894,0.053311481110090986
36,0.05401365385491799,0.054053027231926,0.05402981021704852
37,0.05466070647652218,0.054698241449967495,0.054676046542554674
38,0.055331488956926786,0.055360870849539154,0.055342936715918174
39,0.05598280440641548,0.056017917519770706,0.05599661530796283
40,0.05675716403508606,0.05680147222755036,0.056774726753962716
41,0.05744511618917179,0.05748792275644264,0.05746252773761767
42,0.0581618674374713,0.058206117282563447,0.05818025778438099
43,0.05888231708348972,0.05891446306637604,0.058894112328463415
44,0.05968672325960302,0.059710399075717326,0.05969446183102802
45,0.06029246767408913,0.06031408684164071,0.0602993128748453
46,0.06079433996354917,0.06082320405012959,0.06080546396631849
47,0.06160869582554146,0.061639726982798085,0.061621588269771814
48,0.06237328272180578,0.062400854002801806,0.06238219619533021
49,0.06302991731077535,0.06305756195141891,0.06304082319701884
50,0.06361246041260386,0.06363947574022046,0.06362185739903402
51,0.0642384320036356,0.06425852246445993,0.06424442444137601
52,0.06490656544500129,0.06492491986441346,0.06491060910128268
53,0.06552692881837792,0.0655391420906295,0.06552966127410025
54,0.06618837199822943,0.0662059861705458,0.06619195492970119
55,0.06691188539485302,0.0669297213466655,0.06691713582505177
56,0.06738872838058198,0.06741901535547291,0.0674000876153917
57,0.06807305724063109,0.06809866026406458,0.06808134630358843
58,0.0687415356131345,0.0687614806449303,0.06874727603273684
59,0.06928078278274741,0.06929035660347654,0.06928117085205009
60,0.06985115594077577,0.06986916094160901,0.06985588257145481
61,0.07033030598304607,0.07036868172409592,0.07034509672279349
62,0.07086004838093506,0.070888578495901,0.07086992103105226
63,0.0713883610546118,0.07141242952438734,0.0713952288287034
64,0.07202882157126152,0.07205225543087276,0.0720363010567618
65,0.07246066790595303,0.07248780959464915,0.07246970994643909
66,0.07308963088979328,0.07310664400634972,0.07309352775419187
67,0.07367358853003798,0.07367580914732849,0.07367056023794685
68,0.07405336072527374,0.07406673527892027,0.07405431078279841
69,0.07479000788956579,0.07482514952567564,0.07480427257405527
70,0.07543887185291681,0.07547769111770596,0.07545420789633038
71,0.07612974749771312,0.0761584905056541,0.07614006406244873
72,0.07655552630298225,0.07657443547918306,0.07656039271509951
73,0.07704940504809314,0.0770630370827734,0.07705169068907528
74,0.07772036095634936,0.07773548793319617,0.07772366284763244
75,0.07825537915339371,0.07827714317556725,0.07826185476412036
76,0.07896744010611909,0.07899560532310047,0.07897573536656238
77,0.07954682865935937,0.07957768103145359,0.07955832584772198
78,0.08011896711014595,0.08012833270083046,0.08011936795307983
79,0.080463096897392,0.08048246978171496,0.08046771221590868
