Time Step,Numerical Price,Analytical Price,Absolute Error
0,10.770476795895272,10.450583572185565,0.3198932237097072
1,10.770476795895272,10.450583572185565,0.3198932237097072
2,10.770476795895272,10.450583572185565,0.3198932237097072
3,10.770476795895272,10.450583572185565,0.3198932237097072
4,10.770476795895272,10.450583572185565,0.3198932237097072
5,10.770476795895272,10.450583572185565,0.3198932237097072
6,10.770476795895272,10.450583572185565,0.3198932237097072
7,10.770476795895272,10.450583572185565,0.3198932237097072
8,10.770476795895272,10.450583572185565,0.3198932237097072
9,10.770476795895272,10.450583572185565,0.3198932237097072
10,10.770476795895272,10.450583572185565,0.3198932237097072
11,10.770476795895272,10.450583572185565,0.3198932237097072
12,10.770476795895272,10.450583572185565,0.3198932237097072
13,10.770476795895272,10.450583572185565,0.3198932237097072
14,10.770476795895272,10.450583572185565,0.3198932237097072
15,10.770476795895272,10.450583572185565,0.3198932237097072
16,10.770476795895272,10.450583572185565,0.3198932237097072
17,10.770476795895272,10.450583572185565,0.3198932237097072
18,10.770476795895272,10.450583572185565,0.3198932237097072
19,10.770476795895272,10.450583572185565,0.3198932237097072
20,10.770476795895272,10.450583572185565,0.3198932237097072
21,10.770476795895272,10.450583572185565,0.3198932237097072
22,10.770476795895272,10.450583572185565,0.3198932237097072
23,10.770476795895272,10.450583572185565,0.3198932237097072
24,10.770476795895272,10.450583572185565,0.3198932237097072
25,10.770476795895272,10.450583572185565,0.3198932237097072
26,10.770476795895272,10.450583572185565,0.3198932237097072
27,10.770476795895272,10.450583572185565,0.3198932237097072
28,10.770476795895272,10.450583572185565,0.3198932237097072
29,10.770476795895272,10.450583572185565,0.3198932237097072
30,10.770476795895272,10.450583572185565,0.3198932237097072
31,10.770476795895272,10.450583572185565,0.3198932237097072
32,10.770476795895272,10.450583572185565,0.3198932237097072
33,10.770476795895272,10.450583572185565,0.3198932237097072
34,10.770476795895272,10.450583572185565,0.3198932237097072
35,10.770476795895272,10.450583572185565,0.3198932237097072
36,10.770476795895272,10.450583572185565,0.3198932237097072
37,10.770476795895272,10.450583572185565,0.3198932237097072
38,10.770476795895272,10.450583572185565,0.3198932237097072
39,10.770476795895272,10.450583572185565,0.3198932237097072
40,10.770476795895272,10.450583572185565,0.3198932237097072
41,10.770476795895272,10.450583572185565,0.3198932237097072
42,10.770476795895272,10.450583572185565,0.3198932237097072
43,10.770476795895272,10.450583572185565,0.3198932237097072
44,10.770476795895272,10.450583572185565,0.3198932237097072
45,10.770476795895272,10.450583572185565,0.3198932237097072
46,10.770476795895272,10.450583572185565,0.3198932237097072
47,10.770476795895272,10.450583572185565,0.3198932237097072
48,10.770476795895272,10.450583572185565,0.3198932237097072
49,10.770476795895272,10.450583572185565,0.3198932237097072
50,10.770476795895272,10.450583572185565,0.3198932237097072
51,10.770476795895272,10.450583572185565,0.3198932237097072
52,10.770476795895272,10.450583572185565,0.3198932237097072
53,10.770476795895272,10.450583572185565,0.3198932237097072
54,10.770476795895272,10.450583572185565,0.3198932237097072
55,10.770476795895272,10.450583572185565,0.3198932237097072
56,10.770476795895272,10.450583572185565,0.3198932237097072
57,10.770476795895272,10.450583572185565,0.3198932237097072
58,10.770476795895272,10.450583572185565,0.3198932237097072
59,10.770476795895272,10.450583572185565,0.3198932237097072
60,10.770476795895272,10.450583572185565,0.3198932237097072
61,10.770476795895272,10.450583572185565,0.3198932237097072
62,10.770476795895272,10.450583572185565,0.3198932237097072
63,10.770476795895272,10.450583572185565,0.3198932237097072
64,10.770476795895272,10.450583572185565,0.3198932237097072
65,10.770476795895272,10.450583572185565,0.3198932237097072
66,10.770476795895272,10.450583572185565,0.3198932237097072
67,10.770476795895272,10.450583572185565,0.3198932237097072
68,10.770476795895272,10.450583572185565,0.3198932237097072
69,10.770476795895272,10.450583572185565,0.3198932237097072
70,10.770476795895272,10.450583572185565,0.3198932237097072
71,10.770476795895272,10.450583572185565,0.3198932237097072
72,10.770476795895272,10.450583572185565,0.3198932237097072
73,10.770476795895272,10.450583572185565,0.3198932237097072
74,10.770476795895272,10.450583572185565,0.3198932237097072
75,10.770476795895272,10.450583572185565,0.3198932237097072
76,10.770476795895272,10.450583572185565,0.3198932237097072
77,10.770476795895272,10.450583572185565,0.3198932237097072
78,10.770476795895272,10.450583572185565,0.3198932237097072
79,10.770476795895272,10.450583572185565,0.3198932237097072
80,10.770476795895272,10.450583572185565,0.3198932237097072
81,10.770476795895272,10.450583572185565,0.3198932237097072
82,10.770476795895272,10.450583572185565,0.3198932237097072
83,10.770476795895272,10.450583572185565,0.3198932237097072
84,10.770476795895272,10.450583572185565,0.3198932237097072
85,10.770476795895272,10.450583572185565,0.3198932237097072
86,10.770476795895272,10.450583572185565,0.3198932237097072
87,10.770476795895272,10.450583572185565,0.3198932237097072
88,10.770476795895272,10.450583572185565,0.3198932237097072
89,10.770476795895272,10.450583572185565,0.3198932237097072
90,10.770476795895272,10.450583572185565,0.3198932237097072
91,10.770476795895272,10.450583572185565,0.3198932237097072
92,10.770476795895272,10.450583572185565,0.3198932237097072
93,10.770476795895272,10.450583572185565,0.3198932237097072
94,10.770476795895272,10.450583572185565,0.3198932237097072
95,10.770476795895272,10.450583572185565,0.3198932237097072
96,10.770476795895272,10.450583572185565,0.3198932237097072
97,10.770476795895272,10.450583572185565,0.3198932237097072
98,10.770476795895272,10.450583572185565,0.3198932237097072
99,10.770476795895272,10.450583572185565,0.3198932237097072
100,10.770476795895272,10.450583572185565,0.3198932237097072
101,10.770476795895272,10.450583572185565,0.3198932237097072
102,10.770476795895272,10.450583572185565,0.3198932237097072
103,10.770476795895272,10.450583572185565,0.3198932237097072
104,10.770476795895272,10.450583572185565,0.3198932237097072
105,10.770476795895272,10.450583572185565,0.3198932237097072
106,10.770476795895272,10.450583572185565,0.3198932237097072
107,10.770476795895272,10.450583572185565,0.3198932237097072
108,10.770476795895272,10.450583572185565,0.3198932237097072
109,10.770476795895272,10.450583572185565,0.3198932237097072
110,10.770476795895272,10.450583572185565,0.3198932237097072
111,10.770476795895272,10.450583572185565,0.3198932237097072
112,10.770476795895272,10.450583572185565,0.3198932237097072
113,10.770476795895272,10.450583572185565,0.3198932237097072
114,10.770476795895272,10.450583572185565,0.3198932237097072
115,10.770476795895272,10.450583572185565,0.3198932237097072
116,10.770476795895272,10.450583572185565,0.3198932237097072
117,10.770476795895272,10.450583572185565,0.3198932237097072
118,10.770476795895272,10.450583572185565,0.3198932237097072
119,10.770476795895272,10.450583572185565,0.3198932237097072
120,10.770476795895272,10.450583572185565,0.3198932237097072
121,10.770476795895272,10.450583572185565,0.3198932237097072
122,10.770476795895272,10.450583572185565,0.3198932237097072
123,10.770476795895272,10.450583572185565,0.3198932237097072
124,10.770476795895272,10.450583572185565,0.3198932237097072
125,10.770476795895272,10.450583572185565,0.3198932237097072
126,10.770476795895272,10.450583572185565,0.3198932237097072
127,10.770476795895272,10.450583572185565,0.3198932237097072
128,10.770476795895272,10.450583572185565,0.3198932237097072
129,10.770476795895272,10.450583572185565,0.3198932237097072
130,10.770476795895272,10.450583572185565,0.3198932237097072
131,10.770476795895272,10.450583572185565,0.3198932237097072
132,10.770476795895272,10.450583572185565,0.3198932237097072
133,10.770476795895272,10.450583572185565,0.3198932237097072
134,10.770476795895272,10.450583572185565,0.3198932237097072
135,10.770476795895272,10.450583572185565,0.3198932237097072
136,10.770476795895272,10.450583572185565,0.3198932237097072
137,10.770476795895272,10.450583572185565,0.3198932237097072
138,10.770476795895272,10.450583572185565,0.3198932237097072
139,10.770476795895272,10.450583572185565,0.3198932237097072
140,10.770476795895272,10.450583572185565,0.3198932237097072
141,10.770476795895272,10.450583572185565,0.3198932237097072
142,10.770476795895272,10.450583572185565,0.3198932237097072
143,10.770476795895272,10.450583572185565,0.3198932237097072
144,10.770476795895272,10.450583572185565,0.3198932237097072
145,10.770476795895272,10.450583572185565,0.3198932237097072
146,10.770476795895272,10.450583572185565,0.3198932237097072
147,10.770476795895272,10.450583572185565,0.3198932237097072
148,10.770476795895272,10.450583572185565,0.3198932237097072
