Price,Close,High,Low,Open,Volume
2024-01-02,3.0299999713897705,3.0299999713897705,3.0299999713897705,3.0299999713897705,0
2024-01-03,3.0299999713897705,3.0299999713897705,3.0299999713897705,3.0299999713897705,0
2024-01-04,3.0299999713897705,3.0299999713897705,3.0299999713897705,3.0299999713897705,0
2024-01-05,3.0299999713897705,3.0299999713897705,3.0299999713897705,3.0299999713897705,0
2024-01-08,3.0299999713897705,3.0299999713897705,3.0299999713897705,3.0299999713897705,0
2024-01-09,3.0299999713897705,3.0299999713897705,3.0299999713897705,3.0299999713897705,0
2024-01-10,3.0299999713897705,3.0299999713897705,3.0299999713897705,3.0299999713897705,0
2024-01-11,3.0299999713897705,3.0299999713897705,3.0299999713897705,3.0299999713897705,0
2024-01-12,3.0299999713897705,3.0299999713897705,3.0299999713897705,3.0299999713897705,0
2024-01-16,3.0299999713897705,3.0299999713897705,3.0299999713897705,3.0299999713897705,0
2024-01-17,3.0299999713897705,3.0299999713897705,3.0299999713897705,3.0299999713897705,0
2024-01-18,3.0299999713897705,3.0299999713897705,3.0299999713897705,3.0299999713897705,0
2024-01-19,3.0299999713897705,3.0299999713897705,3.0299999713897705,3.0299999713897705,0
2024-01-22,3.0299999713897705,3.0299999713897705,3.0299999713897705,3.0299999713897705,0
2024-01-23,3.0299999713897705,3.0299999713897705,3.0299999713897705,3.0299999713897705,0
2024-01-24,3.0299999713897705,3.0299999713897705,3.0299999713897705,3.0299999713897705,0
2024-01-25,3.0299999713897705,3.0299999713897705,3.0299999713897705,3.0299999713897705,0
2024-01-26,3.0299999713897705,3.0299999713897705,3.0299999713897705,3.0299999713897705,0
2024-01-29,3.0299999713897705,3.0299999713897705,3.0299999713897705,3.0299999713897705,0
2024-01-30,3.0299999713897705,3.0299999713897705,3.0299999713897705,3.0299999713897705,0
2024-01-31,3.0299999713897705,3.0299999713897705,3.0299999713897705,3.0299999713897705,0
2024-02-01,3.0299999713897705,3.0299999713897705,3.0299999713897705,3.0299999713897705,0
2024-02-02,3.0299999713897705,3.0299999713897705,3.0299999713897705,3.0299999713897705,0
2024-02-05,3.0299999713897705,3.0299999713897705,3.0299999713897705,3.0299999713897705,0
2024-02-06,3.0299999713897705,3.0299999713897705,3.0299999713897705,3.0299999713897705,0
2024-02-07,3.0299999713897705,3.0299999713897705,3.0299999713897705,3.0299999713897705,0
2024-02-08,3.0299999713897705,3.0299999713897705,3.0299999713897705,3.0299999713897705,0
2024-02-09,3.5,3.5,3.450000047683716,3.450000047683716,273
2024-02-12,3.5,3.5,3.5,3.5,0
2024-02-13,3.5,3.5,3.5,3.5,0
2024-02-14,3.5,3.5,3.5,3.5,0
2024-02-15,3.5,3.5,3.5,3.5,0
2024-02-16,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.5999999046325684,112
2024-02-20,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.5999999046325684,0
2024-02-21,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.5999999046325684,0
2024-02-22,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.5999999046325684,0
2024-02-23,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.5999999046325684,0
2024-02-26,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.5999999046325684,0
2024-02-27,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.5999999046325684,0
2024-02-28,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.5999999046325684,0
2024-02-29,5.0,5.0,3.5,3.5,970
2024-03-01,4.300000190734863,4.349999904632568,4.300000190734863,4.349999904632568,1035
2024-03-04,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,0
2024-03-05,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,0
2024-03-06,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,0
2024-03-07,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,0
2024-03-08,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,0
2024-03-11,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,0
2024-03-12,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,0
2024-03-13,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,0
2024-03-14,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,0
2024-03-15,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,0
2024-03-18,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,0
